curve_id,arc_length,curvature_mean,curvature_max,curvature_std,curvature_median,curvature_q95,slope_mean,slope_std,angle_mean,angle_std,angle_range,direction_changes,speed_mean,speed_std,speed_min,speed_max,speed_cv,n_maxima,n_minima,n_inflection,n_extrema,type
11,249.3258547127628,0.03788809203442329,0.21952870218576967,0.04579374622868542,0.023091448444982905,0.15920941695987434,0.32956086720429,0.7634234446390867,11.66232787397805,32.24045845026307,97.82179799922253,5,0.03117121385181013,0.0076498047140702505,0.01601209479642232,0.05495200523014109,0.2454124741640763,3,2,12,5,abierta_compleja
12,163.08915173053234,0.02758052340334396,0.13927162914155952,0.0304853219561838,0.01772451305413074,0.10347961796275164,0.6032186507837359,0.5465029252414917,26.49068849753044,19.70562306773305,69.7497542729041,2,0.020388818622868947,0.006649128400343978,0.010185934484548808,0.03157483396571129,0.32611641328183866,1,1,5,2,abierta_compleja
13,281.63782737707515,0.0379049165869457,0.25046976120923936,0.04425009021101907,0.0211750762194683,0.13937962086864877,0.06873493572686187,0.8276091020588972,0.23311597439090373,33.33935307645338,118.43583278175586,5,0.0352102844521325,0.008781335335825735,0.017818328572811768,0.056568292663205656,0.24939688708745708,3,2,12,5,abierta_compleja
14,294.64426951677365,0.023881566772856588,0.12105308283291338,0.030378988089429123,0.009156107950461847,0.09742651894325238,0.45610459265400516,0.7967721092949718,17.195591269048293,30.954349810829104,98.27923444634484,4,0.036835446453259035,0.01228613922012051,0.02243407584555636,0.0670841966123451,0.33354120563491874,2,2,11,4,abierta_compleja
15,188.4165167198924,0.04448386857796037,0.436180655925877,0.06798177895922343,0.02397324352191766,0.12901945162977854,0.45194720074873385,1.0258117059880696,12.698448629165425,33.617546278486955,116.53539264653784,5,0.023556438470990544,0.009412218073421014,0.010000985473224453,0.0505712463722968,0.3995603191463787,3,2,6,5,abierta_compleja
16,183.80127611225328,0.022192670084560755,0.107559587281806,0.028252452969837798,0.007685196356838073,0.08207472402213276,0.49904208830445057,0.8726986948571106,17.74664195306092,35.65824402509777,94.48811624872063,2,0.022979755309350564,0.00735677668235926,0.013565518019270058,0.03696262845247544,0.32014164569305725,1,1,7,2,abierta_compleja
17,132.47268517618505,0.038416928602439386,0.1563550570674506,0.03777223516599587,0.023339831740098273,0.13249424357722403,0.2398924448627513,0.8965783768636719,12.697062639944999,33.11537897784127,129.15659629904724,3,0.016561667066629773,0.003449502871199046,0.010122370374675824,0.0248594127386587,0.20828234605376625,2,1,6,3,abierta_compleja
18,266.6517413838293,0.019363627103930397,0.11252261544670225,0.02299833981296249,0.012158095304972623,0.07288312692155073,0.12471956559677062,0.5021353653523326,5.1472276099275,24.372614416514548,81.6042931898342,5,0.03333610197936423,0.01046738931697012,0.016050585614989024,0.05207466834141888,0.31399559922901793,3,2,12,5,abierta_compleja
19,137.26725685896093,0.030386065696308664,0.149787896173391,0.03148945781344384,0.01870393832911385,0.10302273335497726,0.38366674146079044,0.607351787313222,16.621618500824617,27.735049361070317,87.03143089273686,3,0.017160702008813786,0.0032091521496302212,0.011094726393388595,0.02297470081090865,0.1870058781967073,2,1,6,3,abierta_compleja
20,261.61304661105135,0.04042190996711807,0.3548416422595371,0.05494991372423353,0.02330902747406955,0.12855294635125392,0.3991277646480072,1.018607383861199,12.063503224111132,34.16057948597718,124.17707194432145,6,0.03270638699892809,0.011727640500633907,0.017785024086423278,0.058393022487316336,0.35857340344619126,3,3,11,6,abierta_compleja
21,164.40919819243913,0.05558984223251986,0.24456635198112656,0.06018792610836875,0.027486898280929574,0.20281709274677553,0.31368692787053326,0.7427661132719502,14.823800456998775,32.79589063682991,110.5664377127151,4,0.020554636132367108,0.006245289711687309,0.010010198899951358,0.03291078084475046,0.30383849519247563,2,2,7,4,abierta_compleja
22,334.2952904135575,0.018457578420406566,0.08376542209539191,0.01965877987948277,0.011280870043559972,0.06401920734481772,0.1642449900831066,0.5094020944695148,8.584976704278409,24.769804028741035,89.88265024408156,3,0.04179199887357504,0.006829461352273867,0.027750077904795542,0.05493759484019357,0.16341552297925896,2,1,10,3,abierta_compleja
