curva,mejor_metodo,r2_mejor,r2_gauss,r2_spline,n_campanas,c,n_knots,A_1,mu_1,sigma_1,A_2,mu_2,sigma_2
452,polinomio,0.999694,0.999614,0.99956,8,25.590606,11,2.040445,11.730943,5.783715,5.532109,50.8063,7.704677
453,gaussianas,1.0,1.0,0.999757,8,-9.136588,7,0.548368,6.681049,6.841416,1.950678,33.754129,5.710473
454,spline,0.999479,0.999228,0.999479,8,-0.792075,17,47.578902,42.903982,28.853351,26.787763,71.183185,14.829675
455,gaussianas,0.999661,0.999661,0.999496,8,27.427828,21,9.364568,35.894347,6.716667,19.386028,42.572396,13.284679
456,gaussianas,1.0,1.0,0.999768,8,3.671103,8,5.681181,33.746384,36.446279,0.390872,37.125875,7.317651
457,gaussianas,0.999994,0.999994,0.999638,8,-0.623834,11,17.958912,22.271214,7.323625,50.403362,34.874201,10.865758
458,gaussianas,0.999995,0.999995,0.999709,8,12.651496,10,4.100985,23.776197,9.235784,1.622714,46.563896,5.264493
459,gaussianas,0.999937,0.999937,0.999229,8,-48.99373,10,37.778974,9.396935,8.684219,79.863415,24.134683,12.193769
460,gaussianas,0.999802,0.999802,0.999454,8,23.215531,16,30.129318,29.364753,13.08289,5.227131,50.84431,6.531042
461,polinomio,0.999998,0.9999,0.998915,8,7.179749,5,39.644113,22.612607,14.896677,47.177473,48.777799,14.608138
462,spline,0.999636,0.999387,0.999636,7,-19.652458,11,1.688989,32.659663,9.949214,21.472721,23.330123,34.165307
463,gaussianas,0.99972,0.99972,0.998618,8,22.608335,15,21.521247,33.583247,12.9229,33.191786,56.662118,17.604225
464,spline,0.999613,0.999396,0.999613,8,-29.282454,15,33.792416,20.85069,8.253418,27.788213,34.512902,9.212827
465,gaussianas,0.999948,0.999948,0.999797,8,-88.446132,18,66.680207,11.134438,26.073375,131.84324,73.377938,37.20411
466,polinomio,1.0,0.999995,0.99969,8,6.382839,5,1.888089,4.945231,3.436277,20.792356,17.720822,9.91496
467,spline,0.999788,0.999701,0.999788,8,-20.771998,22,8.681308,31.065861,6.565474,29.4048,36.343919,18.767248
468,polinomio,1.0,1.0,0.99882,8,-1.622308,3,10.985148,19.189614,14.235263,0.129519,20.07786,3.899963
469,polinomio,0.999999,0.999989,0.999262,8,22.376857,6,6.51574,11.719678,3.781627,1.590205,18.982818,2.828678
470,gaussianas,0.999999,0.999999,0.999503,8,-17.77668,9,35.693596,17.393458,13.139021,37.050774,39.529902,12.934794
471,gaussianas,0.999961,0.999961,0.999538,8,-34.788616,13,23.835729,29.107869,11.582724,107.641598,71.060519,40.146119
472,gaussianas,0.999751,0.999751,0.999661,8,-57.148271,15,10.664927,43.310911,7.58283,12.994018,62.591853,10.954848
473,gaussianas,0.999687,0.999687,0.999621,8,-2.453443,23,37.499642,47.814901,10.31821,34.795954,31.562817,13.369643
474,polinomio,0.999999,0.999947,0.999326,8,-5.050178,6,2.235573,8.174134,3.195537,27.524445,21.499367,9.558982
475,spline,0.999055,0.998138,0.999055,8,15.805484,20,31.713064,54.238745,34.076028,11.443403,62.536661,9.128848
476,spline,0.999637,0.999207,0.999637,8,13.576334,19,50.156261,64.828886,32.661892,6.999013,83.060358,9.374458
477,spline,0.999628,0.999006,0.999628,8,1.540383,15,15.273039,22.257838,12.316839,35.812441,49.742411,19.191396
478,polinomio,1.0,1.0,0.999829,8,-36.274555,2,22.820562,11.003866,6.64277,47.121469,21.792979,6.81018
479,spline,0.999847,0.999716,0.999847,8,-2.382655,17,6.684403,14.360873,12.028505,38.798647,68.356257,20.708348
480,gaussianas,0.999721,0.999721,0.999004,8,12.170349,10,5.64129,20.168488,5.807332,30.192099,33.757575,13.907837
481,polinomio,0.999914,0.99991,0.999046,8,16.884953,8,24.359807,24.487578,15.812947,43.300542,58.502327,19.664125
482,polinomio,0.999999,0.999961,0.999096,7,28.062719,4,6.60004,23.422271,11.370452,21.655904,72.143168,20.886772
483,polinomio,1.0,1.0,0.999589,8,-19.26124,4,23.223684,25.282622,13.176627,15.362983,39.795069,10.188596
484,spline,0.999412,0.997738,0.999412,8,-2.25466,21,22.410581,24.719251,20.511636,59.916163,69.562376,27.707847
485,gaussianas,0.999999,0.999999,0.999606,8,5.174409,10,1.820409,22.982889,23.771555,0.063359,48.893729,5.005074
486,gaussianas,1.0,1.0,0.999624,8,-28.824086,8,0.564453,10.768778,3.457149,23.209009,10.484084,9.312587
487,polinomio,1.0,1.0,0.999574,8,11.062545,7,2.595256,6.153328,9.043913,0.075034,20.9366,2.348413
488,gaussianas,0.99999,0.99999,0.99979,8,-77.290766,15,104.628457,21.273686,24.12008,1.90171,51.695347,5.412599
489,spline,0.999621,0.999354,0.999621,7,-13.547254,16,44.264819,59.486684,26.485086,20.022196,104.387596,15.529412
490,gaussianas,0.999995,0.999995,0.999431,8,32.859258,11,12.324665,27.53429,10.384184,7.028037,44.644753,5.581378
491,polinomio,0.999999,0.999999,0.999217,8,4.814064,2,7.847354,16.180626,8.711861,15.633295,30.231427,8.760412
492,polinomio,1.0,1.0,0.999852,8,-0.563052,2,4.815563,8.297012,6.392053,0.058263,19.046947,1.816709
493,gaussianas,0.999913,0.999913,0.998872,8,6.576193,16,13.232213,12.942407,11.084532,46.057621,37.524641,23.433903
494,gaussianas,0.999641,0.999641,0.999217,7,-20.995019,18,17.698402,21.099269,9.808697,101.079865,47.759848,21.672675
495,gaussianas,0.999683,0.999683,0.998602,8,-42.631777,16,86.561164,37.979961,23.845159,10.630191,57.006357,9.811159
496,gaussianas,0.999989,0.999989,0.999574,8,-9.813669,12,65.419945,56.490309,28.610731,4.11452,55.366581,8.149297
497,gaussianas,0.999997,0.999997,0.999811,8,-33.727634,14,59.243836,53.959448,32.107551,9.187867,63.727603,11.197853
498,polinomio,0.999999,0.999984,0.999368,8,-2.778768,5,14.827563,8.605163,11.792526,55.71148,32.816106,15.10966
499,gaussianas,0.999999,0.999999,0.999679,8,28.133843,7,6.801839,21.954523,14.449505,3.750958,36.966063,9.245141
500,gaussianas,0.999871,0.999871,0.999844,8,-0.26933,16,1.971879,27.599264,7.818914,8.969228,52.166009,10.806581
